candidate_index,matched_sample_id,projection_distance,method,scenario,seed,EUIt,EG,H,projected_EUIt,projected_EG,projected_H,group
1870,1509,0.2083629640625207,NSGA-II,NSGA-II,20260328,66.8125991821289,2.8499972820281982,7.8476948738098145,69.0342623318082,2.541209105182284,7.296942939278815,NSGA-II
1871,1091,0.2047549098905427,NSGA-II,NSGA-II,20260328,66.00270080566406,2.8423879146575928,7.849273681640625,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1872,1850,0.209108851496921,NSGA-II,NSGA-II,20260328,66.00003051757812,2.81185269355774,7.660359382629394,68.71399325255588,2.491300190110957,7.170075057877031,NSGA-II
1873,1850,0.2095418901503442,NSGA-II,NSGA-II,20260328,66.00005340576172,2.777163505554199,7.720356464385986,68.71399325255588,2.491300190110957,7.170075057877031,NSGA-II
1874,1850,0.2090987787206622,NSGA-II,NSGA-II,20260328,66.00000762939453,2.811849594116211,7.660287857055664,68.71399325255588,2.491300190110957,7.170075057877031,NSGA-II
1875,1091,0.2096399333550881,NSGA-II,NSGA-II,20260328,66.22108459472656,2.844475507736206,7.849997043609619,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1876,1091,0.2050549955399077,NSGA-II,NSGA-II,20260328,66.00415802001953,2.8436641693115234,7.849997997283935,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1877,1091,0.2107166475391922,NSGA-II,NSGA-II,20260328,66.00628662109375,2.8498198986053467,7.844183921813965,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1878,1091,0.2055183273012629,NSGA-II,NSGA-II,20260328,66.17881774902344,2.8499655723571777,7.848873615264893,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1879,1509,0.2092264804240635,NSGA-II,NSGA-II,20260328,66.82859802246094,2.849626541137696,7.849989891052246,69.0342623318082,2.541209105182284,7.296942939278815,NSGA-II
1880,1091,0.2109659018541728,NSGA-II,NSGA-II,20260328,66.00990295410156,2.849835157394409,7.844057083129883,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1881,1091,0.2045811426091049,NSGA-II,NSGA-II,20260328,66.00430297851562,2.844000816345215,7.849949836730957,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1882,1091,0.2104812521565172,NSGA-II,NSGA-II,20260328,66.01008605957031,2.849912166595459,7.843968391418457,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1883,1509,0.2101107571496737,NSGA-II,NSGA-II,20260328,66.63821411132812,2.849952459335327,7.849841117858887,69.0342623318082,2.541209105182284,7.296942939278815,NSGA-II
1884,1091,0.208191343071971,NSGA-II,NSGA-II,20260328,66.00382232666016,2.849534273147583,7.843289375305176,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1885,1091,0.2120113913399502,NSGA-II,NSGA-II,20260328,66.0122299194336,2.848116397857666,7.847944259643555,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1886,1091,0.2107710653002609,NSGA-II,NSGA-II,20260328,66.00029754638672,2.848328351974488,7.845300197601318,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1887,1091,0.2098150785317795,NSGA-II,NSGA-II,20260328,66.16222381591797,2.8483333587646484,7.849975109100342,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1888,1091,0.2033993783190869,NSGA-II,NSGA-II,20260328,66.21805572509766,2.849998950958252,7.846708297729492,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1889,1091,0.2084365329935579,NSGA-II,NSGA-II,20260328,66.5824203491211,2.84999942779541,7.80738639831543,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1890,1091,0.212397301874408,NSGA-II,NSGA-II,20260328,66.0183334350586,2.848057270050049,7.848053455352783,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1891,1091,0.2033147382208335,NSGA-II,NSGA-II,20260328,66.17332458496094,2.8499796390533447,7.843361854553223,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1892,1850,0.2051867547977283,NSGA-II,NSGA-II,20260328,66.0,2.801010608673096,7.663753509521484,68.71399325255588,2.491300190110957,7.170075057877031,NSGA-II
1893,1091,0.2058397707906532,NSGA-II,NSGA-II,20260328,66.17855072021484,2.8499319553375244,7.848768711090088,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1894,1091,0.2099925708081242,NSGA-II,NSGA-II,20260328,66.16364288330078,2.8487069606781006,7.849996566772461,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1895,1091,0.2032380378581103,NSGA-II,NSGA-II,20260328,66.13692474365234,2.847583770751953,7.849924564361572,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1896,1091,0.2100244561046362,NSGA-II,NSGA-II,20260328,66.16348266601562,2.8488686084747314,7.849991798400879,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1897,1091,0.202763943178667,NSGA-II,NSGA-II,20260328,66.00105285644531,2.824007749557495,7.849603652954102,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1898,1091,0.2071351924572441,NSGA-II,NSGA-II,20260328,66.15898132324219,2.8490231037139893,7.849971294403076,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1899,1091,0.2030145721695223,NSGA-II,NSGA-II,20260328,66.14080810546875,2.847943067550659,7.8497633934021,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
